disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,hash,lastRefresh
2272,1999-08-26T00:00:00.000Z,TOPEKA FIRE,1999-08-26T00:00:00.000Z,1999-08-29T00:00:00.000Z,Fire Suppression,TX,Texas                         ,Fire,2000-04-17T00:00:00.000Z,2003-02-28T00:00:00.000Z,2002-06-21T00:00:00.000Z,145e194548ef9c0f60d8587f8fd0fd58,2018-03-09T18:42:00.915Z
2261,1999-05-06T00:00:00.000Z,MI - TOWER LAKE MOUNTAIN FIRE - 05/06/1999,1999-05-05T00:00:00.000Z,1999-05-09T00:00:00.000Z,Fire Suppression,MI,Michigan                      ,Fire,1999-06-03T00:00:00.000Z,2003-03-05T00:00:00.000Z,2002-02-15T00:00:00.000Z,9b950d101d03c82241dd9cf5f4d0aac7,2018-03-09T18:42:01.129Z
2260,1999-04-23T00:00:00.000Z,FL-FIRES 04/13/99,1999-04-13T00:00:00.000Z,,Fire Suppression,FL,Florida                       ,Fire,1999-04-30T00:00:00.000Z,2003-04-16T00:00:00.000Z,2002-07-29T00:00:00.000Z,6ee4c04ba5e3645d00bca8a0b8deec9b,2018-03-09T18:42:01.131Z
2254,1999-04-15T00:00:00.000Z,FL-FIRES 04/13/99,1999-04-13T00:00:00.000Z,,Fire Suppression,FL,Florida                       ,Fire,1999-04-29T00:00:00.000Z,2003-04-16T00:00:00.000Z,2002-07-26T00:00:00.000Z,e862826de9aa2d26a768517ee97d34d9,2018-03-09T18:42:01.132Z
1273,1999-05-04T00:00:00.000Z,SEVERE STORMS AND TORNADOES,1999-05-03T00:00:00.000Z,1999-05-06T00:00:00.000Z,Major Disaster,KS,Kansas                        ,Tornado,1999-05-04T00:00:00.000Z,2007-02-05T00:00:00.000Z,2007-01-11T00:00:00.000Z,7b8825464ff88993fa3a0561a566f0a0,2018-03-09T18:42:01.134Z
2257,1999-04-19T00:00:00.000Z,FL-FIRES 04/13/99,1999-04-13T00:00:00.000Z,,Fire Suppression,FL,Florida                       ,Fire,1999-04-30T00:00:00.000Z,2003-04-16T00:00:00.000Z,2002-07-26T00:00:00.000Z,4f3375e4baae27a1be38c26d8a84687c,2018-03-09T18:42:01.131Z
1276,1999-05-17T00:00:00.000Z,CO-FLOODING 4/30/99,1999-04-29T00:00:00.000Z,1999-05-19T00:00:00.000Z,Major Disaster,CO,Colorado                      ,Severe Storm(s),1999-05-14T00:00:00.000Z,2006-04-17T00:00:00.000Z,2006-03-27T00:00:00.000Z,217546ed7f31f1d857e7e075184872c5,2018-03-09T18:42:01.133Z
2262,1999-05-14T00:00:00.000Z,JACKSONVILLE DISTRICT FIRE,1999-05-14T00:00:00.000Z,,Fire Suppression,FL,Florida                       ,Fire,1999-06-10T00:00:00.000Z,2007-07-23T00:00:00.000Z,2007-06-29T00:00:00.000Z,d5f5a5ffb04425c3fc67a766264fc3d2,2018-03-09T18:42:01.132Z
3136,1999-01-15T00:00:00.000Z,SNOW,1999-01-01T00:00:00.000Z,1999-01-15T00:00:00.000Z,Emergency,NY,New York                      ,Snow,1999-01-19T00:00:00.000Z,2004-07-07T00:00:00.000Z,2004-06-18T00:00:00.000Z,79ca9dfda4c3999d06470438a867cdf0,2018-03-09T18:42:01.142Z
2249,1999-03-02T00:00:00.000Z,FISCHER FIRE,1999-03-03T00:00:00.000Z,1999-03-03T00:00:00.000Z,Fire Suppression,TX,Texas                         ,Fire,1999-04-30T00:00:00.000Z,2003-02-28T00:00:00.000Z,2002-07-09T00:00:00.000Z,e096e2c5011c7fd563024989c534cf43,2018-03-09T18:42:01.141Z
