,disasternumber,declarationdate,incidenttype,statecode,totalnumberiaapproved,totalamountihpapproved
812,1916,,,,228.0,1320029.19
813,1924,,,,,
814,1899,,,,,
815,1926,,,,,
816,1929,,,,,
817,1951,,,,,
818,1976,,,,1137.0,9203306.37
819,2002,,,,,
820,1969,,,,2037.0,8587054.39
821,1906,,,,576.0,4273071.42
822,1914,,,,,
823,1936,,,,,
824,1903,,,,,
825,1939,,,,,
826,1928,,,,,
827,1961,,,,,
828,1915,,,,,
829,1986,,,,,
830,1954,,,,,
831,1896,,,,,
832,1911,,,,,
833,1919,,,,,
834,1941,,,,,
835,1944,,,,,
836,1966,,,,,
837,1991,,,,2266.0,15324105.42
838,1959,,,,,
839,1984,,,,1207.0,4799393.02
840,2010,,,,,
841,1918,,,,1511.0,5733945.27
842,1905,,,,,
843,1956,,,,,
844,1981,,,,7469.0,95754618.67
845,2007,,,,,
846,1974,,,,1954.0,8585761.3
847,1999,,,,,
848,1908,,,,301.0,1549737.37
849,1946,,,,,
850,1933,,,,23454.0,61762768.74
851,1949,,,,,
852,2012,,,,,
853,1971,,,,16375.0,77097372.06
854,1938,,,,,
855,1996,,,,2077.0,6708117.08
856,1963,,,,,
857,1964,,,,,
858,1988,,,,,
859,2014,,,,,
860,1989,,,,302.0,3441115.24
861,1925,,,,1624.0,10602928.54
862,1898,,,,,
863,1950,,,,,
864,1923,,,,,
865,1975,,,,4290.0,24279487.62
866,1910,,,,,
867,2001,,,,,
868,2027,,,,,
869,2026,,,,,
870,1953,,,,,
871,1907,,,,,
872,1978,,,,,
873,2004,,,,,
874,2022,,,,,
875,2029,,,,,
876,1948,,,,,
877,1940,,,,,
878,1973,,,,1272.0,5526673.58
879,1998,,,,777.0,4820193.95
880,2032,,,,,
881,2024,,,,,
882,1958,,,,,
883,1965,,,,,
884,1979,,,,1418.0,11386784.01
885,1990,,,,,
886,2005,,,,,
887,2016,,,,,
888,1913,,,,,
889,1897,,,,6709.0,16839844.02
890,1900,,,,,
891,2017,,,,,
892,1983,,,,1254.0,13543057.75
893,2009,,,,,
894,1920,,,,,
895,1968,,,,,
896,1945,,,,,
897,1993,,,,,
898,1970,,,,190.0,1647254.75
899,2019,,,,,
900,1995,,,,556.0,1805969.74
901,1930,,,,8652.0,26438629.85
902,2021,,,,,
903,1955,,,,,
904,1935,,,,108984.0,374795385.51
905,1902,,,,,
906,1980,,,,6437.0,37062310.48
907,2006,,,,,
908,2031,,,,,
909,1912,,,,4258.0,20784629.22
910,1960,,,,,
911,1985,,,,,
912,2011,,,,,
913,1895,,,,27602.0,58954565.86
914,1917,,,,443.0,2733258.17
915,2042,,,,,
916,2037,,,,,
917,2034,,,,,
918,2062,,,,,
919,2059,,,,,
920,2054,,,,,
921,2046,,,,,
922,2041,,,,,
923,1937,,,,,
924,1932,,,,,
925,1962,,,,,
926,1957,,,,,
927,1987,,,,,
928,1982,,,,,
929,2013,,,,,
930,2008,,,,,
931,2038,,,,,
932,2033,,,,,
933,2063,,,,,
934,2058,,,,,
935,2025,,,,,
936,2020,,,,,
937,2050,,,,,
938,2045,,,,,
939,2075,,,,,
940,2070,,,,,
941,2100,,,,,
942,2095,,,,,
943,2057,,,,,
944,2049,,,,,
945,2036,,,,,
946,1927,,,,,
947,1952,,,,,
948,1977,,,,,
949,2003,,,,,
950,2028,,,,,
951,2053,,,,,
952,2015,,,,,
953,2040,,,,,
954,2065,,,,,
955,2090,,,,,
956,2115,,,,,
957,2047,,,,,
958,2039,,,,,
959,2064,,,,,
960,2052,,,,,
961,2051,,,,,
962,2044,,,,,
