disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType
4184,7/24/2014,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,6/14/2014,6/23/2014,Major Disaster,IA,Iowa                          ,Flood
4191,9/10/2014,TROPICAL STORM HALONG,7/28/2014,7/31/2014,Major Disaster,GU,Guam                          ,Severe Storm(s)
4214,4/13/2015,SEVERE WINTER STORM SNOWSTORM AND FLOODING,1/26/2015,1/28/2015,Major Disaster,MA,Massachusetts                 ,Severe Storm(s)
4189,8/13/2014,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,6/5/2014,6/10/2014,Major Disaster,TN,Tennessee                     ,Severe Storm(s)
4236,8/7/2015,SEVERE STORMS STRAIGHT-LINE WINDS FLOODING LANDSLIDES AND MUDSLIDES,7/10/2015,7/14/2015,Major Disaster,WV,West Virginia                 ,Severe Storm(s)
4211,4/2/2015,SEVERE WINTER STORM AND FLOODING,2/15/2015,2/22/2015,Major Disaster,TN,Tennessee                     ,Severe Ice Storm
4186,7/28/2014,SEVERE STORMS TORNADOES AND FLOODING,6/13/2014,6/20/2014,Major Disaster,SD,South Dakota                  ,Flood
4230,7/20/2015,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,5/4/2015,6/21/2015,Major Disaster,KS,Kansas                        ,Severe Storm(s)
4205,1/7/2015,SEVERE STORMS AND TORNADOES,12/23/2014,12/23/2014,Major Disaster,MS,Mississippi                   ,Tornado
4181,7/14/2014,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,6/3/2014,6/4/2014,Major Disaster,IA,Iowa                          ,Severe Storm(s)
4223,5/29/2015,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,5/4/2015,6/22/2015,Major Disaster,TX,Texas                         ,Severe Storm(s)
4198,10/9/2014,SEVERE STORMS STRAIGHT-LINE WINDS AND FLOODING,8/21/2014,8/25/2014,Major Disaster,MT,Montana                       ,Severe Storm(s)
4174,4/29/2014,SEVERE STORMSTORNADOES AND FLOODING,4/27/2014,4/27/2014,Major Disaster,AR,Arkansas                      ,Severe Storm(s)
4197,10/6/2014,SEVERE STORMS AND FLOODING,7/27/2014,8/5/2014,Major Disaster,NM,New Mexico                    ,Severe Storm(s)
4173,4/22/2014,SEVERE WINTER STORM AND SNOWSTORM,1/5/2014,1/9/2014,Major Disaster,IN,Indiana                       ,Severe Storm(s)
4194,9/12/2014,TROPICAL STORM ISELLE,8/7/2014,8/9/2014,Major Disaster,HI,Hawaii                        ,Severe Storm(s)
4170,4/10/2014,SNOWSTORM,2/12/2014,2/13/2014,Major Disaster,MD,Maryland                      ,Severe Storm(s)
4216,4/30/2015,SEVERE WINTER STORMS SNOWSTORMS FLOODING LANDSLIDES AND MUDSLIDES ,2/15/2015,2/22/2015,Major Disaster,KY,Kentucky                      ,Snow
4192,9/10/2014,SEVERE STORMS FLOODING AND LANDSLIDES,7/29/2014,8/3/2014,Major Disaster,AS,American Samoa                ,Severe Storm(s)
4235,8/5/2015,TYPHOON SOUDELOR,8/1/2015,8/3/2015,Major Disaster,MP,Northern Mariana Islands      ,Typhoon
4210,3/31/2015,SEVERE WINTER STORM FLOODING LANDSLIDES AND MUDSLIDES,3/3/2015,3/14/2015,Major Disaster,WV,West Virginia                 ,Severe Storm(s)
4185,7/28/2014,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,6/1/2014,6/4/2014,Major Disaster,NE,Nebraska                      ,Severe Storm(s)
