,disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate
406,1709,6103.0,25681950.62,20738900.84,4943049.78,,,,2019-09-03T00:00:00.000Z
407,1665,8173.0,9121209.04,6373884.58,2747324.46,,,,2019-09-03T00:00:00.000Z
408,1734,4020.0,21160441.15,17930951.94,3229489.21,,,,2019-09-03T00:00:00.000Z
409,1690,201.0,916208.97,706944.53,209264.44,,,,2019-09-03T00:00:00.000Z
410,1605,55830.0,128278244.61,90412186.66,37866057.95,,,,2019-09-03T00:00:00.000Z
411,1715,,,,,,,,
412,1630,,,,,,,,
413,1644,581.0,1013205.06,934193.09,79011.97,,,,2019-09-03T00:00:00.000Z
414,1656,4015.0,9412548.07,8152005.28,1260542.79,,,,2019-09-03T00:00:00.000Z
415,1669,,,,,,,,
416,1681,,,,,,,,
417,1694,9850.0,18821508.61,15919488.9,2902019.71,,,,2019-09-03T00:00:00.000Z
418,1706,,,,,,,,
419,1719,3027.0,8012383.98,7512653.08,499730.9,,,,2019-09-03T00:00:00.000Z
420,1731,2016.0,14938068.56,10900944.96,4037123.6,,,,2019-09-03T00:00:00.000Z
421,1590,,,,,,,,
422,1601,,,,,,,,
423,1615,,,,,,,,
424,1641,,,,,,,,
425,1666,,,,,,,,
426,1691,,,,,,,,
427,1716,,,,,,,,
428,1586,,,,,,,,
429,1708,572.0,2428002.26,2213415.22,214587.04,,,,2019-09-03T00:00:00.000Z
430,1650,9309.0,31528398.09,24766553.19,6761844.9,,,,2019-09-03T00:00:00.000Z
431,1675,,,,,,,,
432,1700,1443.0,2613838.46,2492287.94,121550.52,,,,2019-09-03T00:00:00.000Z
433,1725,,,,,,,,
434,1654,,,,,,,,
435,1679,531.0,3655288.86,3024688.43,630600.43,,,,2019-09-03T00:00:00.000Z
436,1728,,,,,,,,
437,1704,,,,,,,,
438,1670,937.0,2979765.22,2744484.82,235280.4,,,,2019-09-03T00:00:00.000Z
439,1729,1499.0,4468107.41,4026708.01,441399.4,,,,2019-09-03T00:00:00.000Z
440,1695,1202.0,3509042.32,3208483.04,300559.28,,,,2019-09-03T00:00:00.000Z
441,1664,2635.0,9498514.38,9442754.21,55760.17,,,,2019-09-03T00:00:00.000Z
442,1720,5495.0,18462462.78,15067072.08,3395390.7,,,,2019-09-03T00:00:00.000Z
443,1689,,,,,,,,
444,1649,8144.0,20691866.81,17761717.66,2930149.15,,,,2019-09-03T00:00:00.000Z
445,1714,,,,,,,,
446,1585,,,,,,,,
447,1674,,,,,,,,
448,1610,379.0,1102655.35,899448.72,203206.63,,,,2019-09-03T00:00:00.000Z
